From	To
B1AKP1	10100
Q9NPJ1	8195
Q14680	9833
Q8IVN8	157869
O60566	701
Q9UP83	10466
P06400	5925
P18621	6139
Q8N302	55109
Q15393	23450
J3KRL0	4642
Q14232	1967
Q9UJ55	54551
O43511	5172
P50052	186
Q70CQ1	25862
Q07075	2028
P01375	7124
Q8IWS0	84295
A0A087WXE9	25891
P36021	6567
Q9GZM3	246721
Q9GZM3	548644
Q6PIF2	256126
P07093	5270
O75173	9507
Q9BZI7	65109
B4DYP1	23576
Q9UBX5	10516
O15403	9120
P41279	1326
P82987	57188
P07355	302
P49902	22978
P51681	1234
Q6UW10	389376
P13164	8519
Q9H2C2	64801
P46060	5905
Q9H4I2	23051
B4DGD8	26130
P51170	6340
O43365	3200
Q9NQ89	57102
Q96EF6	115290
O75380	4726
O00291	3092
Q8NEU8	55198
Q14145	9817
A0A0C4DFV9	6418
Q99613	8663
Q6QEF8	84940
P14859	5451
Q9UBM8	25834
P11413	2539
B4DEW2	5596
Q9Y240	6320
P02649	348
Q03395	6094
P04798	1543
Q9HB90	64121
P55916	7352
O75879	5188
P07195	3945
Q8NB25	79632
A7MD48	84530
Q01740	2326
Q96G97	26580
P68871	3043
A0A0A0MR50	8451
Q14919	10589
P67870	1460
Q9HBK9	57412
A0A0A0MRS4	55151
Q8IUX1	55863
P54851	2013
P45973	23468
Q8NGJ1	219983
Q9NXF7	54876
Q8TF40	96459
Q13510	427
P20132	10993
A0A087WWT2	51299
P06576	506
O96020	9134
Q9NUQ9	51571
Q7Z392	60684
Q15406	2649
Q99933	573
Q8NDL9	60509
Q71RS6	283652
Q9BYE4	6706
Q08AD1	23271
Q8WW59	283377
P48050	3761
P28062	5696
A0A087WZU1	374462
Q9Y3C5	26994
Q7Z6W7	150353
P49448	2747
Q9UGL1	10765
O75828	874
O75907	8694
Q99666	729540
Q99666	84220
Q13595	29896
O14640	1855
P21554	1268
P50461	8048
Q9H074	10605
O15230	3911
Q16552	3605
Q6P1M0	10999
Q7Z2Z2	79631
Q9HB14	56659
Q9H2K0	219402
Q9Y6Q6	8792
Q9ULQ0	57464
P18847	467
G5E994	57720
O15455	7098
Q9HBG4	50617
F6TDL0	110117499
F5H4S8	4772
Q9Y2L6	23150
Q96PB1	64921
Q8NDB2	55024
Q8N967	654429
Q6NXT1	129138
Q8IWU9	121278
Q7Z5R6	54518
Q9Y4R8	9894
Q8TDN4	91768
Q06609	5888
Q6ZMG9	253782
Q92185	6489
Q9UM01	9056
Q8WWZ8	170392
O95602	25885
P10244	4605
Q14781	84733
Q6P444	113115
Q5BJF2	27346
Q96DR5	140683
Q7Z4H7	54801
P25791	4005
P31213	6716
O94851	9645
P50993	477
Q9BXY8	84707
Q8WUK0	114971
P08949	4828
P98153	9993
A0A0A0MTM3	10370
Q8TE82	54436
Q2TAA2	285148
Q9NWB7	55081
Q6P4E1	113201
Q15466	8431
P15104	2752
P53778	6300
P05019	3479
Q96G42	113730
C9J975	116988
Q9ULL1	57480
P30740	1992
B1AQP5	9191
Q9H2S9	64375
Q6NUS6	26123
O00625	8544
Q92765	2487
P04040	847
Q96A29	55343
Q8NEP9	148254
Q9NUQ6	26010
O95497	8876
O14569	11068
Q9H1K4	83733
Q8IUY3	196996
D3DWC4	259230
P46926	10007
O14965	6790
O95347	10592
Q9NX94	54838
Q9BUV0	57035
Q8N3C0	10973
Q5XG92	283848
Q9H694	80114
Q96GX1	79867
A2AJT9	256643
Q9Y5E6	56132
P07225	5627
Q63HM9	345557
P07585	1634
Q96RS6	84955
Q5QJU3	340485
Q9NWW0	54985
P17022	7566
P68032	70
Q96SF7	6913
Q14527	6596
Q16581	719
Q16658	6624
Q9UKX7	10762
Q96FN9	112487
Q96TA1	64855
Q9NZT2	11054
P29033	2706
Q8TCI5	128344
Q9Y5R5	10655
G3XA84	5228
Q9UHE8	26872
P0CK97	9906
Q9H3S5	93183
Q8N6R0	51603
O43304	9717
Q96DC8	79746
Q6NZY4	55596
Q16570	2532
Q99687	56917
P47870	2561
Q9BY64	54490
P60174	7167
P46089	2827
O43868	9153
P04259	3854
P56597	8382
Q86V40	129293
C9JPL0	57018
Q9NY27	151987
P04114	338
O00311	8317
P25325	4357
Q96QS1	10077
O43526	3785
Q96MV8	158866
P01137	7040
O95996	10297
Q99567	4927
Q13753	3918
Q14956	10457
Q96T60	11284
Q8NG04	65012
Q6PF06	158234
P20061	6947
Q9Y2B9	11142
Q96A23	131034
Q9BUA6	93408
E9PF91	124912
Q16254	1874
Q9NTN9	57715
Q7Z7E8	55585
P52630	6773
O15075	9201
Q96S65	64651
O00587	4242
Q8WWL7	85417
P13995	10797
Q96S59	10048
Q96FG2	84173
A6NFQ9	23176
O14798	8794
Q9UH92	6945
P29558	5937
P27930	7850
P49768	5663
Q5T9L3	79971
Q9Y2U9	23588
Q9H8E8	57325
Q7RTU7	642658
I6LPK7	581
Q9Y6Q2	11037
Q9Y6Q2	286749
E9PLK3	9520
Q70J99	201294
Q15819	7336
Q13275	6405
Q8TDI8	117531
Q8NGP8	390168
Q9P2K6	57542
Q6ZN16	389840
Q9UFN0	25934
P55287	1009
Q7L8J4	80851
Q9UKB5	55966
Q969G6	55312
A0A087X0H8	8848
Q6R327	253260
Q8N5H3	23625
Q9Y6M5	7779
O00151	9124
Q8TB22	64847
Q8N6F7	257144
Q16647	5740
O95985	8940
Q9P021	9419
P31947	2810
P50591	8743
Q9H2X8	83982
P57775	6468
P26639	6897
Q06323	5720
P18827	6382
A0A0A0MSE3	185
A0A087WVM4	25902
O60548	2306
B3KUF4	2626
Q8IVL5	55214
P48539	5121
Q9BWE0	29803
Q5JR98	343521
P08173	1132
O43663	9055
Q15814	6903
P51451	640
Q96CN5	201255
Q86WU2	197257
H9KV63	56165
P15586	2799
Q9NV23	55301
Q9NV12	55281
B5ME60	5452
Q8N5H7	10044
Q8NDI1	23301
P09651	3178
Q8TDB8	144195
E9PEI0	157313
Q96E16	114926
P61247	6189
B4DKD1	94015
Q9H3M7	10628
Q5VYH9	4063
Q13277	6809
Q8IZJ1	219699
Q8IVD9	23386
A8MQT2	440270
Q86XR5	145270
O96008	10452
Q9BV36	79083
F5H8B0	2155
Q6ZRI6	56905
Q12770	22937
Q9NZ94	54413
Q7Z3E1	25976
P31415	844
P35637	2521
Q8N5S9	84254
P48735	3418
Q32MK0	91807
P55283	1002
Q05GC8	55809
P07099	2052
Q9UBP6	4234
Q5UAW9	80045
Q9H2A9	64377
P51687	6821
Q0D2K3	92129
Q96DP5	123263
Q9UL17	30009
P42126	1632
Q86UT6	79671
Q9Y619	10166
P15812	913
P32321	1635
Q7Z3Q1	283537
P26368	11338
O75787	10159
E7EVN3	81551
P14649	140465
F8VXU5	51699
Q6P9B9	80789
Q6PI25	254263
P11387	7150
Q9UNA4	11201
P00387	1727
A0A087WW65	22
Q8NG68	150465
O75636	8547
Q495W5	170384
D7R525	5601
Q96HF1	6423
Q5T2W1	5174
A0A087WTR9	4194
Q9NXL6	54847
Q8TE73	1767
H0YM30	342184
A0A0A0MTI6	60481
B7ZL91	4224
P10644	5573
Q75T13	80055
O43293	1613
O00421	9034
O00624	10246
Q8N5C6	55133
P32856	2054
O95490	23266
Q5VVW2	84253
P53597	8802
P30531	6529
Q15835	6011
P05976	4632
Q92781	5959
O43186	1406
Q06187	695
O94822	26046
Q8IY42	55286
Q8TCG1	57650
O43609	10252
Q9BZL3	85027
Q9NVE7	55229
Q09428	6833
A0A0A0MSU4	10351
Q96BH1	64320
O00322	11045
Q99835	6608
F5H2B5	122618
O95425	6840
P51790	1182
B9EJG8	441027
Q7L2H7	10480
P41162	2117
Q86Y01	1840
Q92482	360
A6NP61	646799
Q3KQU3	55700
P20062	6948
O75594	8993
Q9BQG1	84258
F5H527	85464
Q02880	7155
O95467	2778
B4DV51	5901
P52209	5226
Q8N8A6	317781
Q9HCK8	57680
Q6W4X9	4588
P00748	2161
P25713	4504
O14493	1364
O75508	5010
Q8IWU5	55959
Q14CZ7	79072
Q9BYJ9	54915
Q9Y4H2	8660
P38646	3313
Q96I34	84988
Q9UG56	23761
Q8N114	51246
P29375	5927
O43861	374868
Q9H972	60686
Q7Z4W1	51181
O75446	8819
Q8IXT1	220042
P47928	3400
P07492	2922
Q6P5X7	137835
P30084	1892
Q9NY12	54433
P43354	4929
P08183	5243
Q14155	8874
Q14914	22949
Q96A59	91862
Q9P016	29087
Q9UPV0	22897
Q13315	472
O60508	51362
O60637	10099
Q9BXI6	83874
P61421	9114
O43752	10228
Q659A1	79664
D3DVS1	85013
Q3LIE5	56985
O14543	9021
Q9H3F6	83892
P52435	5439
O75084	8324
Q9ULG6	9236
P17676	1051
O75554	11193
Q9ULC3	51715
Q969S3	90441
P54886	5832
P04839	1536
Q8IVB4	285195
E9PCD7	23324
Q9HC38	51031
Q92519	28951
Q9UJL9	65243
Q06830	5052
H0UI06	1347
Q7Z7K6	201161
O95071	51366
P37173	7048
P49682	2833
Q9UKI8	9874
Q96S55	56897
O00220	8797
E7ESI2	1017
Q9Y258	10344
Q8N0X2	79582
Q16513	5586
O95154	22977
Q8IV63	51231
Q96CH1	115330
Q9NXS3	54813
Q9NYZ3	51512
